IPL	SignalType	--------	Frequency-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------	PRI	---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-----PW----	-----	AntScan	--------	DeleteTime	ThreatLevel	AutoWarning	EmitterNotation	EmitterName	Category	ThreatERP	PlatformNo	PlatformName1	PlatformNo	PlatformName2	PlatformNo	PlatformName3	PlatformNo	PlatformName4	PlatformNo	PlatformName5																																																																												
3804	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D807Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3805	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D808Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3806	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D809Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3807	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D810Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3808	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D811Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3809	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D812Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3810	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D813Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3811	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D814Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3812	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D815Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3813	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D816Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3814	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D817Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3815	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D818Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3816	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D819Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3817	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D820Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3818	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D821Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3819	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D822Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3820	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D823Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3821	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D824Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3822	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D825Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3823	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D826Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3824	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D827Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3825	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D828Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3826	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D829Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3827	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D830Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3828	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D831Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3829	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D832Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3830	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D833Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3831	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D834Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3832	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D835Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3833	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D836Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3834	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D837Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3835	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D838Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3836	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D839Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3837	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D840Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3838	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D841Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3839	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D842Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3840	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D843Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3841	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D844Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3842	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D845Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3843	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D846Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3844	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D847Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3845	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D848Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3846	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D849Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3847	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D850Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3848	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D851Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3849	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D852Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3850	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D853Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3851	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D854Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3852	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D855Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3853	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D856Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3854	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D857Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3855	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D858Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3856	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D859Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3857	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D860Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3858	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D861Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3859	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D862Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3860	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D863Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3861	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D864Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3862	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D865Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
3863	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	D866Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
